20:53:26.105 >  t0
20:53:26.107 > Loop t0
20:53:26.112 > Loop t0
20:53:26.117 > Loop t0
20:53:26.122 > Loop t0
20:53:26.127 > Loop t0
20:53:26.132 > Loop t0
20:53:26.137 > Loop t0
20:53:26.142 > Loop t0
20:53:26.147 > Loop t0
20:53:26.152 > Loop t0
20:53:26.157 > Loop t0
20:53:26.162 > Loop t0
20:53:26.167 > Loop t0
20:53:26.172 > Loop t0
20:53:26.177 > Loop t0
20:53:26.185 > Loop t0
20:53:26.188 > Loop t0
20:53:26.194 > Loop t0
20:53:26.197 > Loop t0
20:53:26.202 > Loop t0
20:53:26.207 > Loop t0
20:53:26.212 > Loop t0
20:53:26.217 > Loop t0
20:53:26.222 > Loop t0
20:53:26.227 > Loop t0
20:53:26.232 > Loop t0
20:53:26.237 > Loop t0
20:53:26.242 > Loop t0
20:53:26.247 > Loop t0
20:53:26.252 > Loop t0
20:53:26.257 > Loop t0
20:53:26.262 > Loop t0
20:53:26.267 > Loop t0
20:53:26.272 > Loop t0
20:53:26.277 > Loop t0
20:53:26.283 > Loop t0
20:53:26.287 > Loop t0
20:53:26.292 > Loop t0
20:53:26.297 > Loop t0
20:53:26.302 > Loop t0
20:53:26.307 > Loop t0
20:53:26.312 > Loop t0
20:53:26.317 > Loop t0
20:53:26.322 > Loop t0
20:53:26.327 > Loop t0
20:53:26.333 > Loop t0
20:53:26.337 > Loop t0
20:53:26.342 > Loop t0
20:53:26.347 > Loop t0
20:53:26.352 > Loop t0
20:53:26.357 > Loop t0
20:53:26.362 > Loop t0
20:53:26.368 > Loop t0
20:53:26.372 > Loop t0
20:53:26.377 > Loop t0
20:53:26.383 > Loop t0
20:53:26.387 > Loop t0
20:53:26.392 > Loop t0
20:53:26.397 > Loop t0
20:53:26.402 > Loop t0
20:53:26.407 > Loop t0
20:53:26.412 > Loop t0
20:53:26.417 > Loop t0
20:53:26.422 > Loop t0
20:53:26.427 > Loop t0
20:53:26.432 > Loop t0
20:53:26.437 > Loop t0
20:53:26.442 > Loop t0
20:53:26.447 > Loop t0
20:53:26.452 > Loop t0
20:53:26.457 > Loop t0
20:53:26.462 > Loop t0
20:53:26.467 > Loop t0
20:53:26.472 > Loop t0
20:53:26.477 > Loop t0
20:53:26.482 > Loop t0
20:53:26.487 > Loop t0
20:53:26.492 > Loop t0
20:53:26.497 > Loop t0
20:53:26.502 > Loop t0
20:53:26.507 > Loop t0
20:53:26.512 > Loop t0
20:53:26.517 > Loop t0
20:53:26.522 > Loop t0
20:53:26.527 > Loop t0
20:53:26.532 > Loop t0
20:53:26.537 > Loop t0
20:53:26.542 > Loop t0
20:53:26.547 > Loop t0
20:53:26.552 > Loop t0
20:53:26.557 > Loop t0
20:53:26.562 > Loop t0
20:53:26.567 > Loop t0
20:53:26.572 > Loop t0
20:53:26.577 > Loop t0
20:53:26.582 > Loop t0
20:53:26.587 > Loop t0
20:53:26.592 > Loop t0
20:53:26.597 > Loop t0
20:53:26.602 > Loop t0
20:53:26.607 > Loop t0
20:53:26.612 > Loop t0
20:53:26.618 > Loop t0
20:53:26.622 > Loop t0
20:53:26.627 > Loop t0
20:53:26.632 > Loop t0
20:53:26.637 > Loop t0
20:53:26.642 > Loop t0
20:53:26.647 > Loop t0
20:53:26.652 > Loop t0
20:53:26.658 > Loop t0
20:53:26.662 > Loop t0
20:53:26.667 > Loop t0
20:53:26.672 > Loop t0
20:53:26.677 > Loop t0
20:53:26.682 > Loop t0
20:53:26.687 > Loop t0
20:53:26.692 > Loop t0
20:53:26.697 > Loop t0
20:53:26.702 > Loop t0
20:53:26.707 > Loop t0
20:53:26.712 > Loop t0
20:53:26.718 > Loop t0
20:53:26.722 > Loop t0
20:53:26.727 > Loop t0
20:53:26.732 > Loop t0
20:53:26.737 > Loop t0
20:53:26.742 > Loop t0
20:53:26.747 > Loop t0
20:53:26.752 > Loop t0
20:53:26.757 > Loop t0
20:53:26.762 > Loop t0
20:53:26.767 > Loop t0
20:53:26.772 > Loop t0
20:53:26.777 > Loop t0
20:53:26.782 > Loop t0
20:53:26.787 > Loop t0
20:53:26.792 > Loop t0
20:53:26.797 > Loop t0
20:53:26.802 > Loop t0
20:53:26.807 > Loop t0
20:53:26.812 > Loop t0
20:53:26.817 > Loop t0
20:53:26.822 > Loop t0
20:53:26.827 > Loop t0
20:53:26.832 > Loop t0
20:53:26.837 > Loop t0
20:53:26.842 > Loop t0
20:53:26.847 > Loop t0
20:53:26.852 > Loop t0
20:53:26.857 > Loop t0
20:53:26.862 > Loop t0
20:53:26.867 > Loop t0
20:53:26.872 > Loop t0
20:53:26.877 > Loop t0
20:53:26.882 > Loop t0
20:53:26.887 > Loop t0
20:53:26.892 > Loop t0
20:53:26.897 > Loop t0
20:53:26.902 > Loop t0
20:53:26.907 > Loop t0
20:53:26.912 > Loop t0
20:53:26.917 > Loop t0
20:53:26.922 > Loop t0
20:53:26.927 > Loop t0
20:53:26.932 > Loop t0
20:53:26.937 > Loop t0
20:53:26.942 > Loop t0
20:53:26.947 > Loop t0
20:53:26.952 > Loop t0
20:53:26.957 > Loop t0
20:53:26.962 > Loop t0
20:53:26.967 > Loop t0
20:53:26.972 > Loop t0
20:53:26.977 > Loop t0
20:53:26.982 > Loop t0
20:53:26.987 > Loop t0
20:53:26.992 > Loop t0
20:53:26.997 > Loop t0
20:53:27.002 > Loop t0
20:53:27.007 > Loop t0
20:53:27.012 > Loop t0
20:53:27.017 > Loop t0
20:53:27.022 > Loop t0
20:53:27.027 > Loop t0
20:53:27.032 > Loop t0
20:53:27.037 > Loop t0
20:53:27.042 > Loop t0
20:53:27.047 > Loop t0
20:53:27.052 > Loop t0
20:53:27.057 > Loop t0
20:53:27.062 > Loop t0
20:53:27.067 > Loop t0
20:53:27.072 > Loop t0
20:53:27.077 > Loop t0
20:53:27.082 > Loop t0
20:53:27.087 > Loop t0
20:53:27.092 > Loop t0
20:53:27.097 > Loop t0
20:53:27.103 > Loop t0
20:53:27.107 > Loop t0
20:53:27.112 > Loop t0
20:53:27.117 > Loop t0
20:53:27.123 > Loop t0
20:53:27.127 > Loop t0
20:53:27.132 > Loop t0
20:53:27.137 > Loop t0
20:53:27.142 > Loop t0
20:53:27.147 > Loop t0
20:53:27.152 > Loop t0
20:53:27.157 > Loop t0
20:53:27.162 > Loop t0
20:53:27.167 > Loop t0
20:53:27.172 > Loop t0
20:53:27.177 > Loop t0
20:53:27.182 > Loop t0
20:53:27.188 > Loop t0
20:53:27.192 > Loop t0
20:53:27.197 > Loop t0
20:53:27.202 > Loop t0
20:53:27.207 > Loop t0
20:53:27.212 > Loop t0
20:53:27.217 > Loop t0
20:53:27.222 > Loop t0
20:53:27.227 > Loop t0
20:53:27.232 > Loop t0
20:53:27.237 > Loop t0
20:53:27.242 > Loop t0
20:53:27.247 > Loop t0
20:53:27.252 > Loop t0
20:53:27.257 > Loop t0
20:53:27.262 > Loop t0
20:53:27.267 > Loop t0
20:53:27.272 > Loop t0
20:53:27.277 > Loop t0
20:53:27.282 > Loop t0
20:53:27.287 > Loop t0
20:53:27.292 > Loop t0
20:53:27.297 > Loop t0
20:53:27.302 > Loop t0
20:53:27.307 > Loop t0
20:53:27.312 > Loop t0
20:53:27.317 > Loop t0
20:53:27.322 > Loop t0
20:53:27.327 > Loop t0
20:53:27.332 > Loop t0
20:53:27.337 > Loop t0
20:53:27.342 > Loop t0
20:53:27.347 > Loop t0
20:53:27.352 > Loop t0
20:53:27.357 > Loop t0
20:53:27.362 > Loop t0
20:53:27.367 > Loop t0
20:53:27.373 > Loop t0
20:53:27.377 > Loop t0
20:53:27.382 > Loop t0
20:53:27.387 > Loop t0
20:53:27.392 > Loop t0
20:53:27.397 > Loop t0
20:53:27.402 > Loop t0
20:53:27.407 > Loop t0
20:53:27.412 > Loop t0
20:53:27.417 > Loop t0
20:53:27.423 > Loop t0
20:53:27.427 > Loop t0
20:53:27.432 > Loop t0
20:53:27.437 > Loop t0
20:53:27.442 > Loop t0
20:53:27.447 > Loop t0
20:53:27.452 > Loop t0
20:53:27.457 > Loop t0
20:53:27.462 > Loop t0
20:53:27.467 > Loop t0
20:53:27.472 > Loop t0
20:53:27.477 > Loop t0
20:53:27.482 > Loop t0
20:53:27.487 > Loop t0
20:53:27.492 > Loop t0
20:53:27.497 > Loop t0
20:53:27.502 > Loop t0
20:53:27.507 > Loop t0
20:53:27.512 > Loop t0
20:53:27.517 > Loop t0
20:53:27.523 > Loop t0
20:53:27.527 > Loop t0
20:53:27.532 > Loop t0
20:53:27.538 > Loop t0
20:53:27.542 > Loop t0
20:53:27.547 > Loop t0
20:53:27.552 > Loop t0
20:53:27.557 > Loop t0
20:53:27.562 > Loop t0
20:53:27.567 > Loop t0
20:53:27.572 > Loop t0
20:53:27.577 > Loop t0
20:53:27.582 > Loop t0
20:53:27.587 > Loop t0
20:53:27.592 > Loop t0
20:53:27.597 > Loop t0
20:53:27.602 > Loop t0
20:53:27.607 > Loop t0
20:53:27.612 > Loop t0
20:53:27.617 > Loop t0
20:53:27.622 > Loop t0
20:53:27.627 > Loop t0
20:53:27.632 > Loop t0
20:53:27.637 > Loop t0
20:53:27.642 > Loop t0
20:53:27.647 > Loop t0
20:53:27.652 > Loop t0
20:53:27.657 > Loop t0
20:53:27.662 > Loop t0
20:53:27.667 > Loop t0
20:53:27.672 > Loop t0
20:53:27.677 > Loop t0
20:53:27.682 > Loop t0
20:53:27.687 > Loop t0
20:53:27.692 > Loop t0
20:53:27.697 > Loop t0
20:53:27.702 > Loop t0
20:53:27.707 > Loop t0
20:53:27.712 > Loop t0
20:53:27.717 > Loop t0
20:53:27.722 > Loop t0
20:53:27.727 > Loop t0
20:53:27.732 > Loop t0
20:53:27.737 > Loop t0
20:53:27.742 > Loop t0
20:53:27.747 > Loop t0
20:53:27.752 > Loop t0
20:53:27.758 > Loop t0
20:53:27.762 > Loop t0
20:53:27.767 > Loop t0
20:53:27.772 > Loop t0
20:53:27.777 > Loop t0
20:53:27.782 > Loop t0
20:53:27.787 > Loop t0
20:53:27.792 > Loop t0
20:53:27.797 > Loop t0
20:53:27.802 > Loop t0
20:53:27.807 > Loop t0
20:53:27.812 > Loop t0
20:53:27.817 > Loop t0
20:53:27.822 > Loop t0
20:53:27.827 > Loop t0
20:53:27.832 > Loop t0
20:53:27.837 > Loop t0
20:53:27.842 > Loop t0
20:53:27.847 > Loop t0
20:53:27.852 > Loop t0
20:53:27.857 > Loop t0
20:53:27.862 > Loop t0
20:53:27.867 > Loop t0
20:53:27.872 > Loop t0
20:53:27.877 > Loop t0
20:53:27.882 > Loop t0
20:53:27.887 > Loop t0
20:53:27.892 > Loop t0
20:53:27.897 > Loop t0
20:53:27.902 > Loop t0
20:53:27.907 > Loop t0
20:53:27.912 > Loop t0
20:53:27.917 > Loop t0
20:53:27.922 > Loop t0
20:53:27.927 > Loop t0
20:53:27.932 > Loop t0
20:53:27.937 > Loop t0
20:53:27.942 > Loop t0
20:53:27.947 > Loop t0
20:53:27.952 > Loop t0
20:53:27.957 > Loop t0
20:53:27.962 > Loop t0
20:53:27.967 > Loop t0
20:53:27.972 > Loop t0
20:53:27.977 > Loop t0
20:53:27.982 > Loop t0
20:53:27.987 > Loop t0
20:53:27.992 > Loop t0
20:53:27.997 > Loop t0
20:53:28.002 > Loop t0
20:53:28.007 > Loop t0
20:53:28.012 > Loop t0
20:53:28.017 > Loop t0
20:53:28.022 > Loop t0
20:53:28.027 > Loop t0
20:53:28.032 > Loop t0
20:53:28.037 > Loop t0
20:53:28.042 > Loop t0
20:53:28.047 > Loop t0
20:53:28.052 > Loop t0
20:53:28.057 > Loop t0
20:53:28.062 > Loop t0
20:53:28.067 > Loop t0
20:53:28.072 > Loop t0
20:53:28.077 > Loop t0
20:53:28.082 > Loop t0
20:53:28.087 > Loop t0
20:53:28.092 > Loop t0
20:53:28.097 > Loop t0
