22:07:39.349 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.01 0.02
22:07:39.356 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.04 -0.01 -0.01
22:07:39.363 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.04 -0.04 0.00
22:07:39.370 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.06 -0.02 0.00
22:07:39.377 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.04 0.01 0.00
22:07:39.384 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 -0.01 0.00
22:07:39.392 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.01 0.00
22:07:39.398 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.02 0.00
22:07:39.405 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 0.02
22:07:39.412 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.04 0.02
22:07:39.419 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.01 -0.01
22:07:39.426 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 -0.01
22:07:39.433 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.02 0.00
22:07:39.440 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 -0.01
22:07:39.447 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.01 -0.01
22:07:39.454 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.03 -0.01
22:07:39.462 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.01 -0.03
22:07:39.468 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 0.01 -0.03
22:07:39.475 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.03 -0.01
22:07:39.482 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.01 0.00
22:07:39.489 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 0.00
22:07:39.496 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.02 0.02
22:07:39.503 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.04 0.00
22:07:39.511 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.01 0.00
22:07:39.517 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.03 0.02
22:07:39.524 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 0.00
22:07:39.531 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 0.00
22:07:39.539 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.01 0.00
22:07:39.545 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.03 0.02
22:07:39.552 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.04 0.02
22:07:39.559 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.01 0.02
22:07:39.566 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.01 0.02
22:07:39.573 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.03 0.03
22:07:39.581 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.03 0.02
22:07:39.587 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.04 0.02
22:07:39.596 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.01 0.00
22:07:39.601 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.04 0.03
22:07:39.608 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.01 0.02
22:07:39.615 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.01 0.00
22:07:39.622 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.01 -0.01
22:07:39.629 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 -0.01 0.00
22:07:39.636 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.01 -0.01
22:07:39.643 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 -0.03
22:07:39.650 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 -0.03
22:07:39.657 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.03 -0.03
22:07:39.664 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.01 -0.01
22:07:39.671 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.04 0.03 -0.03
22:07:39.678 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.04 0.02
22:07:39.685 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.06 0.00
22:07:39.692 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.01 -0.01
22:07:39.699 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.02 0.02
22:07:39.706 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.04 -0.01
22:07:39.714 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 0.02
22:07:39.720 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.01 0.00
22:07:39.728 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.01 0.00
22:07:39.734 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 -0.01 0.00
22:07:39.741 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.03 -0.01 0.02
22:07:39.748 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.01 0.02
22:07:39.755 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 0.03 0.02
22:07:39.762 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.01 0.00
22:07:39.769 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f 0.01 -0.01 -0.01
22:07:39.776 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.03 0.02
22:07:39.783 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.04 0.03 0.02
22:07:39.790 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.03 0.02
22:07:39.797 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.01 0.01 0.00
22:07:39.804 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 -0.01 0.00
22:07:39.813 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.02 0.04 -0.03
22:07:39.818 > Roll: %.2f, Pitch: %.2f, Yaw: %.2f -0.04 -0.01 0.00
