00:35:37.092 > 3C:61:05:33:DA:74Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.105 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.112 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.121 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.129 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.138 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.146 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.154 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.168 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.177 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.186 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.194 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.203 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.212 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.221 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.228 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.236 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.245 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.258 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.63  | Desired throttle:  0.47
00:35:40.268 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.275 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.284 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.293 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.301 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.310 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.318 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.326 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.334 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.350 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.358 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.365 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.374 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.382 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.391 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.399 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.410 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.416 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.424 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.438 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.448 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.455 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.465 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.63  | Desired throttle:  0.47
00:35:40.474 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.481 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.490 > Desired roll:  -0.79  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.500 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.506 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.514 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.529 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.537 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.546 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.555 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.563 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.572 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.580 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.592 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.596 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.604 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.63  | Desired throttle:  0.47
00:35:40.618 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.627 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.635 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.63  | Desired throttle:  0.47
00:35:40.646 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.653 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.661 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.669 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.679 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.687 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.694 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.708 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.718 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.725 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.735 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.742 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.752 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.759 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.772 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.777 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.784 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.801 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.807 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.815 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.824 > Desired roll:  -0.71  | Desired pitch:  -0.47  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.834 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.842 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.63  | Desired throttle:  0.47
00:35:40.849 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.860 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.868 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.877 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.888 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.897 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.905 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.916 > Desired roll:  -0.79  | Desired pitch:  -0.55  | Desired yaw:  -0.63  | Desired throttle:  0.47
00:35:40.922 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.931 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.939 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.948 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.956 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.964 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.63  | Desired throttle:  0.47
00:35:40.980 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.987 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:40.998 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.007 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.013 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.025 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.031 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.041 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.049 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.054 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.069 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.077 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.086 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.48
00:35:41.094 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.103 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.114 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.122 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.129 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.63  | Desired throttle:  0.47
00:35:41.136 > Desired roll:  -0.79  | Desired pitch:  -0.55  | Desired yaw:  -0.63  | Desired throttle:  0.47
00:35:41.146 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.159 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.169 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.175 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.184 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.195 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.63  | Desired throttle:  0.47
00:35:41.203 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.210 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.219 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.228 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
00:35:41.234 > Desired roll:  -0.71  | Desired pitch:  -0.55  | Desired yaw:  -0.71  | Desired throttle:  0.47
