00:52:04.056 > Setup t0
00:52:04.057 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  0.00
00:52:04.067 > Setup t1
00:52:04.067 > [    26][E][esp32-hal-i2c.c:255] i2cSetClock(): could not acquire lock
00:52:10.412 > 3C:61:05:33:DA:74Offsets: Throttle=127, Yaw=125, Pitch=127, Roll=125
00:52:13.420 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  -0.02
00:52:13.427 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  -0.02
00:52:13.435 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  -0.02
00:52:13.449 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  -0.02
00:52:13.458 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  -0.02
00:52:13.466 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  -0.02
00:52:13.474 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  -0.02
00:52:13.483 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  -0.02
00:52:13.491 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  -0.02
00:52:13.499 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  -0.02
00:52:13.507 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  -0.02
00:52:13.516 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  -0.02
00:52:13.524 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.08  | Desired throttle:  -0.01
00:52:13.532 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  -0.02
00:52:13.540 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  -0.02
00:52:13.549 > Desired roll:  0.00  | Desired pitch:  0.00  | Desired yaw:  0.00  | Desired throttle:  -0.02
